Time (s),Rx (V),Tx (V)
-0.000580726,-0.0151773,0.168113
-0.000580096,-0.0118809,0.171756
-0.000579466,-0.00858446,0.168113
-0.000578836,-0.0151773,0.171756
-0.000578206,-0.0118809,0.171756
-0.000577576,-0.00858446,0.171756
-0.000576946,-0.0118809,0.171756
-0.000576316,-0.0151773,0.168113
-0.000575686,-0.0118809,0.164469
-0.000575056,-0.0151773,0.179043
-0.000574426,-0.0151773,0.175399
-0.000573796,-0.0151773,0.171756
-0.000573166,-0.0151773,0.171756
-0.000572536,-0.0151773,0.171756
-0.000571906,-0.0118809,0.168113
-0.000571276,-0.00858446,0.160826
-0.000570646,-0.0151773,0.171756
-0.000570016,-0.0151773,0.171756
-0.000569386,-0.0151773,0.171756
-0.000568756,-0.0118809,0.171756
-0.000568126,-0.0151773,0.164469
-0.000567496,-0.0151773,0.171756
-0.000566866,-0.0118809,0.168113
-0.000566236,-0.0151773,0.171756
-0.000565606,-0.0217701,0.168113
-0.000564976,-0.0151773,0.168113
-0.000564346,-0.0118809,0.171756
-0.000563716,-0.0118809,0.171756
-0.000563086,-0.00858446,0.168113
-0.000562456,-0.0151773,0.168113
-0.000561826,-0.0151773,0.164469
-0.000561196,-0.0184737,0.168113
-0.000560566,-0.0118809,0.168113
-0.000559936,-0.0118809,0.168113
-0.000559306,-0.0118809,0.168113
-0.000558676,-0.0118809,0.171756
-0.000558046,-0.00858446,0.171756
-0.000557416,-0.0118809,0.164469
-0.000556786,-0.0184737,0.171756
-0.000556156,-0.0184737,0.171756
-0.000555526,-0.0184737,0.179043
-0.000554896,-0.0184737,0.171756
-0.000554266,-0.0184737,0.171756
-0.000553636,-0.0151773,0.171756
-0.000553006,-0.0217701,0.171756
-0.000552376,-0.0151773,0.171756
-0.000551746,-0.0151773,0.171756
-0.000551116,-0.0151773,0.168113
-0.000550486,-0.0118809,0.168113
-0.000549856,-0.0118809,0.171756
-0.000549226,-0.00858446,0.175399
-0.000548596,-0.0118809,0.168113
-0.000547966,-0.0151773,0.171756
-0.000547336,-0.0151773,0.171756
-0.000546706,-0.0184737,0.171756
-0.000546076,-0.0118809,0.171756
-0.000545446,-0.0118809,0.175399
-0.000544816,-0.0118809,0.175399
-0.000544186,-0.0118809,0.175399
-0.000543556,-0.0151773,0.171756
-0.000542926,-0.0118809,0.171756
-0.000542296,-0.0118809,0.175399
-0.000541666,-0.00858446,0.164469
-0.000541036,-0.0118809,0.168113
-0.000540406,-0.0118809,0.171756
-0.000539776,-0.0151773,0.171756
-0.000539146,-0.0151773,0.171756
-0.000538516,-0.0118809,0.168113
-0.000537886,-0.00858446,0.171756
-0.000537256,-0.0118809,0.171756
-0.000536626,-0.0151773,0.164469
-0.000535996,-0.0184737,0.164469
-0.000535366,-0.0184737,0.168113
-0.000534736,-0.0151773,0.164469
-0.000534106,-0.0118809,0.168113
-0.000533476,-0.0118809,0.168113
-0.000532846,-0.0118809,0.171756
-0.000532216,-0.0118809,0.175399
-0.000531586,-0.0151773,0.175399
-0.000530956,-0.0118809,0.171756
-0.000530326,-0.0118809,0.168113
-0.000529696,-0.0151773,0.168113
-0.000529066,-0.0118809,0.168113
-0.000528436,-0.00858446,0.168113
-0.000527806,-0.00858446,0.164469
-0.000527176,-0.00858446,0.168113
-0.000526546,-0.0118809,0.171756
-0.000525916,-0.0151773,0.168113
-0.000525286,-0.00858446,0.171756
-0.000524656,-0.0118809,0.175399
-0.000524026,-0.0118809,0.175399
-0.000523396,-0.0151773,0.171756
-0.000522766,-0.0151773,0.171756
-0.000522136,-0.0151773,0.175399
-0.000521506,-0.0118809,0.175399
-0.000520876,-0.0151773,0.171756
-0.000520246,-0.0118809,0.171756
-0.000519616,-0.0118809,0.171756
-0.000518986,-0.00858446,0.168113
-0.000518356,-0.00858446,0.168113
-0.000517726,-0.0118809,0.168113
-0.000517096,-0.0151773,0.168113
-0.000516466,-0.0118809,0.168113
-0.000515836,-0.0118809,0.171756
-0.000515206,-0.0118809,0.171756
-0.000514576,-0.0151773,0.168113
-0.000513946,-0.00858446,0.168113
-0.000513316,-0.00528805,0.168113
-0.000512686,-0.00858446,0.164469
-0.000512056,-0.00858446,0.160826
-0.000511426,-0.00858446,0.164469
-0.000510796,-0.00528805,0.168113
-0.000510166,-0.00858446,0.171756
-0.000509536,-0.00858446,0.171756
-0.000508906,-0.0118809,0.171756
-0.000508276,-0.0151773,0.171756
-0.000507646,-0.0184737,0.168113
-0.000507016,-0.0118809,0.168113
-0.000506386,-0.0118809,0.168113
-0.000505756,-0.0118809,0.168113
-0.000505126,-0.0151773,0.168113
-0.000504496,-0.0118809,0.168113
-0.000503866,-0.00528805,0.164469
-0.000503236,-0.0118809,0.168113
-0.000502606,-0.00528805,0.171756
-0.000501976,-0.0118809,0.175399
-0.000501346,-0.0118809,0.175399
-0.000500716,-0.0118809,0.168113
-0.000500086,-0.0118809,0.168113
-0.000499456,-0.0118809,0.171756
-0.000498826,-0.00858446,0.168113
-0.000498196,-0.00858446,0.168113
-0.000497566,-0.0118809,0.175399
-0.000496936,-0.00858446,0.175399
-0.000496306,-0.00528805,0.175399
-0.000495676,-0.0118809,0.171756
-0.000495046,-0.0151773,0.171756
-0.000494416,-0.0151773,0.168113
-0.000493786,-0.0118809,0.168113
-0.000493156,-0.0151773,0.171756
-0.000492526,-0.0151773,0.171756
-0.000491896,-0.0151773,0.168113
-0.000491266,-0.0151773,0.168113
-0.000490636,-0.0118809,0.164469
-0.000490006,-0.0118809,0.168113
-0.000489376,-0.0118809,0.168113
-0.000488746,-0.0118809,0.168113
-0.000488116,-0.0118809,0.164469
-0.000487486,-0.0118809,0.164469
-0.000486856,-0.0118809,0.164469
-0.000486226,-0.0118809,0.168113
-0.000485596,-0.00858446,0.175399
-0.000484966,-0.00858446,0.175399
-0.000484336,-0.00528805,0.171756
-0.000483706,-0.00858446,0.175399
-0.000483076,-0.00858446,0.171756
-0.000482446,-0.00858446,0.171756
-0.000481816,-0.0118809,0.171756
-0.000481186,-0.0118809,0.168113
-0.000480556,-0.0118809,0.164469
-0.000479926,-0.0118809,0.168113
-0.000479296,-0.00858446,0.171756
-0.000478666,-0.00858446,0.175399
-0.000478036,-0.0118809,0.171756
-0.000477406,-0.0151773,0.175399
-0.000476776,-0.0151773,0.171756
-0.000476146,-0.00858446,0.171756
-0.000475516,-0.0118809,0.171756
-0.000474886,-0.0151773,0.168113
-0.000474256,-0.0118809,0.164469
-0.000473626,-0.00858446,0.168113
-0.000472996,-0.0151773,0.164469
-0.000472366,-0.0118809,0.168113
-0.000471736,-0.00858446,0.171756
-0.000471106,-0.00858446,0.171756
-0.000470476,-0.00858446,0.175399
-0.000469846,-0.00858446,0.171756
-0.000469216,-0.00858446,0.171756
-0.000468586,-0.00528805,0.175399
-0.000467956,-0.00528805,0.168113
-0.000467326,-0.00858446,0.168113
-0.000466696,-0.0118809,0.168113
-0.000466066,-0.0118809,0.164469
-0.000465436,-0.00858446,0.168113
-0.000464806,-0.00528805,0.168113
-0.000464176,-0.00858446,0.168113
-0.000463546,-0.00858446,0.164469
-0.000462916,-0.00858446,0.168113
-0.000462286,-0.0118809,0.168113
-0.000461656,-0.00858446,0.171756
-0.000461026,-0.0118809,0.171756
-0.000460396,-0.0151773,0.171756
-0.000459766,-0.00858446,0.171756
-0.000459136,-0.0118809,0.175399
